edges_version;edge_from;edge_id;edge_numLanes;edge_priority;edge_speed;edge_to
1.9;1;1004;3;-1;13.89;9
1.9;3;1010;3;-1;13.89;11
1.9;4;1013;3;-1;13.89;12
1.9;5;1016;3;-1;13.89;13
1.9;6;1019;3;-1;13.89;14
1.9;8;1023;3;-1;13.89;9
1.9;9;1025;3;-1;13.89;1
1.9;9;1026;3;-1;13.89;8
1.9;9;1027;3;-1;13.89;10
1.9;9;1028;3;-1;13.89;17
1.9;10;1030;3;-1;13.89;9
1.9;10;1031;3;-1;13.89;11
1.9;11;1033;3;-1;13.89;3
1.9;11;1034;3;-1;13.89;10
1.9;11;1035;3;-1;13.89;12
1.9;11;1036;3;-1;13.89;19
1.9;12;1037;3;-1;13.89;4
1.9;12;1038;3;-1;13.89;11
1.9;12;1039;3;-1;13.89;13
1.9;12;1040;3;-1;13.89;20
1.9;13;1041;3;-1;13.89;5
1.9;13;1042;3;-1;13.89;12
1.9;13;1043;3;-1;13.89;14
1.9;13;1044;3;-1;13.89;21
1.9;14;1045;3;-1;13.89;6
1.9;14;1046;3;-1;13.89;13
1.9;14;1047;3;-1;13.89;15
1.9;14;1048;3;-1;13.89;22
1.9;15;1050;3;-1;13.89;14
1.9;16;1053;3;-1;13.89;17
1.9;17;1055;3;-1;13.89;9
1.9;17;1056;3;-1;13.89;16
1.9;17;1057;3;-1;13.89;18
1.9;17;1058;3;-1;13.89;25
1.9;18;1060;3;-1;13.89;17
1.9;18;1061;3;-1;13.89;19
1.9;18;1062;3;-1;13.89;26
1.9;19;1063;3;-1;13.89;11
1.9;19;1064;3;-1;13.89;18
1.9;19;1065;3;-1;13.89;20
1.9;19;1066;3;-1;13.89;27
1.9;20;1067;3;-1;13.89;12
1.9;20;1068;3;-1;13.89;19
1.9;20;1069;3;-1;13.89;21
1.9;21;1071;3;-1;13.89;13
1.9;21;1072;3;-1;13.89;20
1.9;21;1073;3;-1;13.89;22
1.9;22;1075;3;-1;13.89;14
1.9;22;1076;3;-1;13.89;21
1.9;22;1077;3;-1;13.89;23
1.9;22;1078;3;-1;13.89;30
1.9;23;1080;3;-1;13.89;22
1.9;25;1085;3;-1;13.89;17
1.9;25;1088;3;-1;13.89;33
1.9;26;1089;3;-1;13.89;18
1.9;26;1092;3;-1;13.89;34
1.9;27;1093;3;-1;13.89;19
1.9;27;1096;3;-1;13.89;35
1.9;30;1105;3;-1;13.89;22
1.9;30;1108;3;-1;13.89;38
1.9;32;1113;3;-1;13.89;33
1.9;33;1115;3;-1;13.89;25
1.9;33;1116;3;-1;13.89;32
1.9;33;1117;3;-1;13.89;34
1.9;33;1118;3;-1;13.89;41
1.9;34;1119;3;-1;13.89;26
1.9;34;1120;3;-1;13.89;33
1.9;34;1121;3;-1;13.89;35
1.9;34;1122;3;-1;13.89;42
1.9;35;1123;3;-1;13.89;27
1.9;35;1124;3;-1;13.89;34
1.9;35;1125;3;-1;13.89;36
1.9;35;1126;3;-1;13.89;43
1.9;36;1128;3;-1;13.89;35
1.9;36;1129;3;-1;13.89;37
1.9;37;1132;3;-1;13.89;36
1.9;37;1133;3;-1;13.89;38
1.9;38;1135;3;-1;13.89;30
1.9;38;1136;3;-1;13.89;37
1.9;38;1137;3;-1;13.89;39
1.9;38;1138;3;-1;13.89;46
1.9;39;1140;3;-1;13.89;38
1.9;41;1144;3;-1;13.89;33
1.9;42;1147;3;-1;13.89;34
1.9;43;1150;3;-1;13.89;35
1.9;46;1159;3;-1;13.89;38
